[2026-06-16 15:47:28] Starting subprocess-based zero-downtime proof simulator with client failover retry...
[2026-06-16 15:47:28] Detected max keys for reads: 1000
[2026-06-16 15:47:28] Entering main simulation loop. Press Ctrl+C to stop.
[2026-06-16 15:51:29] Progress: Ops=8000 | Reads=4000 (Fails=0) | Writes=4000 (Fails=0) | Success Rate=100.00% | Elapsed=241.3s
[2026-06-16 15:51:35] Progress: Ops=8200 | Reads=4100 (Fails=0) | Writes=4100 (Fails=0) | Success Rate=100.00% | Elapsed=247.4s
[2026-06-16 15:51:41] Progress: Ops=8400 | Reads=4200 (Fails=0) | Writes=4200 (Fails=0) | Success Rate=100.00% | Elapsed=253.4s
[2026-06-16 15:51:47] Progress: Ops=8600 | Reads=4300 (Fails=0) | Writes=4300 (Fails=0) | Success Rate=100.00% | Elapsed=259.3s
[2026-06-16 15:51:53] Progress: Ops=8800 | Reads=4400 (Fails=0) | Writes=4400 (Fails=0) | Success Rate=100.00% | Elapsed=265.3s
[2026-06-16 15:51:59] Progress: Ops=9000 | Reads=4500 (Fails=0) | Writes=4500 (Fails=0) | Success Rate=100.00% | Elapsed=271.2s
[2026-06-16 15:52:05] Progress: Ops=9200 | Reads=4600 (Fails=0) | Writes=4600 (Fails=0) | Success Rate=100.00% | Elapsed=277.1s
[2026-06-16 15:52:11] Progress: Ops=9400 | Reads=4700 (Fails=0) | Writes=4700 (Fails=0) | Success Rate=100.00% | Elapsed=282.9s
[2026-06-16 15:52:17] Progress: Ops=9600 | Reads=4800 (Fails=0) | Writes=4800 (Fails=0) | Success Rate=100.00% | Elapsed=288.8s
[2026-06-16 15:52:22] Progress: Ops=9800 | Reads=4900 (Fails=0) | Writes=4900 (Fails=0) | Success Rate=100.00% | Elapsed=294.8s
[2026-06-16 15:52:28] Progress: Ops=10000 | Reads=5000 (Fails=0) | Writes=5000 (Fails=0) | Success Rate=100.00% | Elapsed=300.7s
[2026-06-16 15:52:34] Progress: Ops=10200 | Reads=5100 (Fails=0) | Writes=5100 (Fails=0) | Success Rate=100.00% | Elapsed=306.6s
[2026-06-16 15:52:40] Progress: Ops=10400 | Reads=5200 (Fails=0) | Writes=5200 (Fails=0) | Success Rate=100.00% | Elapsed=312.6s
[2026-06-16 15:52:46] Progress: Ops=10600 | Reads=5300 (Fails=0) | Writes=5300 (Fails=0) | Success Rate=100.00% | Elapsed=318.6s
[2026-06-16 15:52:52] Progress: Ops=10800 | Reads=5400 (Fails=0) | Writes=5400 (Fails=0) | Success Rate=100.00% | Elapsed=324.6s
[2026-06-16 15:52:58] Progress: Ops=11000 | Reads=5500 (Fails=0) | Writes=5500 (Fails=0) | Success Rate=100.00% | Elapsed=330.5s
[2026-06-16 15:53:04] Progress: Ops=11200 | Reads=5600 (Fails=0) | Writes=5600 (Fails=0) | Success Rate=100.00% | Elapsed=336.4s
[2026-06-16 15:53:10] Progress: Ops=11400 | Reads=5700 (Fails=0) | Writes=5700 (Fails=0) | Success Rate=100.00% | Elapsed=342.5s
[2026-06-16 15:53:16] Progress: Ops=11600 | Reads=5800 (Fails=0) | Writes=5800 (Fails=0) | Success Rate=100.00% | Elapsed=348.4s
[2026-06-16 15:53:23] Progress: Ops=11800 | Reads=5900 (Fails=0) | Writes=5900 (Fails=0) | Success Rate=100.00% | Elapsed=355.1s
[2026-06-16 15:53:30] Progress: Ops=12000 | Reads=6000 (Fails=0) | Writes=6000 (Fails=0) | Success Rate=100.00% | Elapsed=361.9s
[2026-06-16 15:53:36] Progress: Ops=12200 | Reads=6100 (Fails=0) | Writes=6100 (Fails=0) | Success Rate=100.00% | Elapsed=368.0s
[2026-06-16 15:53:42] Progress: Ops=12400 | Reads=6200 (Fails=0) | Writes=6200 (Fails=0) | Success Rate=100.00% | Elapsed=374.6s
[2026-06-16 15:53:48] Progress: Ops=12600 | Reads=6300 (Fails=0) | Writes=6300 (Fails=0) | Success Rate=100.00% | Elapsed=380.8s
[2026-06-16 15:53:55] Progress: Ops=12800 | Reads=6400 (Fails=0) | Writes=6400 (Fails=0) | Success Rate=100.00% | Elapsed=387.1s
[2026-06-16 15:54:01] Progress: Ops=13000 | Reads=6500 (Fails=0) | Writes=6500 (Fails=0) | Success Rate=100.00% | Elapsed=393.0s
[2026-06-16 15:54:07] Progress: Ops=13200 | Reads=6600 (Fails=0) | Writes=6600 (Fails=0) | Success Rate=100.00% | Elapsed=399.0s
